"Percentage of singletons in all counts"	"1.784%"
"Percentage of singletons in unique counts"	"58.242%"
"Singleton"	"pickguardi"
"Singleton"	"pickguardmounted"
"Singleton"	"pickguardpickup"
"Singleton"	"pickholderthe"
"Singleton"	"pickiness"
"Singleton"	"pickingi"
"Singleton"	"pickingonly"
"Singleton"	"pickperhaps"
"Singleton"	"pickpocket"
"Singleton"	"pickprevious"
"Singleton"	"picksat"
"Singleton"	"picksbut"
"Singleton"	"pickscfh"
"Singleton"	"picksdunlop"
"Singleton"	"pickshield"
"Singleton"	"pickshowever"
"Singleton"	"picksif"
"Singleton"	"picksit"
"Singleton"	"picksits"
"Singleton"	"picksknobs"
"Singleton"	"picksnonmarring"
"Singleton"	"picksonly"
"Singleton"	"picksoverall"
"Singleton"	"pickspicks"
"Singleton"	"picksstringstuning"
"Singleton"	"picksthey"
"Singleton"	"pickstip"
"Singleton"	"pickswhat"
"Singleton"	"pickswill"
"Singleton"	"picksyou"
"Singleton"	"pickthey"
"Singleton"	"pickupafter"
"Singleton"	"pickupattaching"
"Singleton"	"pickupchics"
"Singleton"	"pickupit"
"Singleton"	"pickupjoe"
"Singleton"	"pickupmic"
"Singleton"	"pickupmy"
"Singleton"	"pickupnice"
"Singleton"	"pickupnon"
"Singleton"	"pickupoverall"
"Singleton"	"pickupsif"
"Singleton"	"pickupso"
"Singleton"	"pickupsthe"
"Singleton"	"pickupsyou"
"Singleton"	"pickupthe"
"Singleton"	"pickwhen"
"Singleton"	"picnic"
"Singleton"	"picsas"
"Singleton"	"picsit"
"Singleton"	"picsthe"
"Singleton"	"picswell"
"Singleton"	"pictureit"
"Singleton"	"picturereverb"
"Singleton"	"pictureseven"
"Singleton"	"picturesince"
"Singleton"	"pidmont"
"Singleton"	"pieceaddendum"
"Singleton"	"piecehave"
"Singleton"	"pieceofjunk"
"Singleton"	"piecing"
"Singleton"	"piedmont"
"Singleton"	"pierce"
"Singleton"	"pierced"
"Singleton"	"piercings"
"Singleton"	"piezobased"
"Singleton"	"piggyback"
"Singleton"	"piggythis"
"Singleton"	"pignoseandastrat"
"Singleton"	"pignosesized"
"Singleton"	"pigtronix"
"Singleton"	"pikup"
"Singleton"	"pill"
"Singleton"	"pimped"
"Singleton"	"pinchdown"
"Singleton"	"pinching"
"Singleton"	"pinchthe"
"Singleton"	"pinchy"
"Singleton"	"pinging"
